reviewerID,asin,reviewerName,helpful/0,helpful/1,reviewText,overall,summary,unixReviewTime,reviewTime
A1E5ZR1Z4OQJG,1495329321,"Pure Jonel ""Pure Jonel""",0,0,"Da Silva takes the divine by storm with this unique new novel.  She develops a world unlike any others while keeping it firmly in the real world.  This is a very well written and entertaining novel.  I was quite impressed and intrigued by the way that this solid storyline was developed, bringing the readers right into the world of the story.  I was engaged throughout and definitely enjoyed my time spent reading it.I loved the character development in this novel.  Da Silva creates a cast of high school students who actually act like high school students.  I really appreciated the fact that none of them were thrown into situations far beyond their years, nor did they deal with events as if they had decades of life experience under their belts.  It was very refreshing and added to the realism and impact of the novel.  The friendships between the characters in this novel were also truly touching.Overall, this novel was fantastic.  I can&#8217;t wait to read more and to find out what happens next in the series.  I&#8217;d definitely recommend this debut novel by Da Silva to those who want a little YA fun with a completely unique & shocking storyline.Please note that I received a complimentary copy of this work in exchange for an honest review.",4,An amazing first novel,1396137600,"03 30, 2014"
A30PZPI6FPH0A7,0399157565,Jackmollie,0,0,"For me personally it's the most disappointing book I have ready re: Kay Scarpetta. I generally can't put a Cornwell book down, but I had to force myself to keep reading it. Hard to stay focused when half a book describes approximately 4-6 hours.",2,disappointed,1400112000,"05 15, 2014"
A1GQ2UI5BKCCRD,0984528105,Gail Hodges,0,0,"Very simple book, but leaves you feeling good.  No over the top sex scenes, no graphic violence.  Just a simple book that talks touches on child abuse and dysfunction in a family.  I liked it because the author did not go into graphic detail about the abuse, but instead focused how it affected the people involved.  Good story, good characters.",4,Good book,1401235200,"05 28, 2014"
A2DF4LQQI6KSQ2,0804139024,Olga,0,0,"I read a library copy of this exceptionally well-written novel, and bought it as a gift for my son-in-law (a theoretical particle physicist) who is hard to buy for.  This is a thriller, with problems and solutions unfolding one after another, and overlapping.  There is science (always explained) and there is humor.  It's been a while since I read a book I enjoyed so much.",5,Science Fiction at its best!,1396483200,"04 3, 2014"
A1UAMAWY966P2,0765317583,Nadyne M Ichimura,0,0,With the government knowing this could happen and not telling anyone then this is a good story of what would happen if an emp attack happened.,5,Excellent story,1397001600,"04 9, 2014"
A37XLAHHT78YAP,0606238409,Amazon Customer,0,0,"Love the book, great story line, keeps you entertained.for a first novel from this author she did a great job,  Would definitely recommend!",4,great book!,1390176000,"01 20, 2014"
AUXAGCDGL3RZP,B00FJKDYWW,merman,1,1,A well written fast paced story with twists and surprises around every corner and of course a wonderful love story too.,5,Another Winner!,1399593600,"05 9, 2014"
ATT15IFF1UBAQ,0060781939,"A. Nuhanovic ""AlNuhano""",0,0,"It was good....there is a lot going on with multiple characters, I guess setting up for the whole series and introducing the upcoming leading Duchesses.",4,Very fast paced,1397606400,"04 16, 2014"
A3DIRR3JME6UPQ,1495307352,Shugabean,0,0,"I sit here, in tears.  I don't even know what to say.  Never have I ever read anything like this.  How does it end here?  My heart is broken, but it's full.  I don't know that I will ever be able to read this book again, but it know that I will never, ever forget it.  Do I recommend this book? Absolutely.  And no,  I don't.  Nothing is what it seemed and I am sitting here, thinking, what am I supposed to do now.  The ending is perfect.  The ending is horrible and I want something different. I read for entertainment.  To be happy or frightened or whatever emotion.  Right now, there are too many conflicting emotions.  I'm glad I read this book, but I wish I had never picked it up.  I haven't check to see if there is going to be more to the story, because I don't want to hope, then again I don't want to changeWhat happens.  Basically, I am a confused mess.  And I love it.",5,What just happened??,1389657600,"01 14, 2014"
A3I7EO9OU6YAY,1492254398,whitfield25,1,1,"Loved it! Could not put it down! The only thing worse than having a deadly stalker, is that no one believes that you have a deadly stalker. Skye Sullivan KNOWS that someone ran her off the road and ended her dancing career. So how does she prove it? Trace, the man Skye has loved since she was 15 years old, is now a prime suspect. Now what? This book has you guessing all the way to the shocking end! Nicely Done!",5,A Real Page Turner!,1396137600,"03 30, 2014"
